Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTHENUM\\DEV_E458BC44C67C\\7&14FA43A0&0&BLUETOOTHDEVICE_E458BC44C67C";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTH\\MS_BTHPAN\\6&17CF7CDC&0&2";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="BTH\\MS_BTHLE\\6&17CF7CDC&0&3";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="USB\\VID_3434&PID_D030\\5&38487EDF&0&4";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="USB\\VID_3434&PID_D030&MI_00\\6&842F6DF&5&0000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_00\\7&1975A584&0&0000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="USB\\VID_3434&PID_D030&MI_01\\6&842F6DF&5&0001";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_01\\7&2CA5C1C2&0&0000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="USB\\VID_3434&PID_D030&MI_02\\6&842F6DF&5&0002";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL01\\7&43B13F9&0&0000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL02\\7&43B13F9&0&0001";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL03\\7&43B13F9&0&0002";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_3434&PID_D030&MI_02&COL04\\7&43B13F9&0&0003";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="USB\\VID_046D&PID_0AB7\\2033BAB02MK8";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="USB\\VID_046D&PID_0AB7&MI_00\\8&65B63BE&0&0000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="SWD\\MMDEVAPI\\{0.0.0.00000000}.{184D4543-FC60-410B-BF4E-8428618ACCF1}";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="SWD\\MMDEVAPI\\{0.0.1.00000000}.{653662F9-69B1-4491-9569-6E2D17B93A9A}";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="USB\\VID_046D&PID_0AB7&MI_03\\8&65B63BE&0&0003";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_046D&PID_0AB7&MI_03&COL01\\9&214B99F&0&0000";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_PnPEntity.DeviceID="HID\\VID_046D&PID_0AB7&MI_03&COL02\\9&214B99F&0&0001";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A73E&SUBSYS_0C021028&REV_00&USB4_MS_CM\\3&11583659&1&6A";Win32_PnPEntity.DeviceID="USB4\\VIRTUAL_POWER_PDO\\4&C2CE0C0&0&0";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A73E&SUBSYS_0C021028&REV_00&USB4_MS_CM\\3&11583659&1&6A";Win32_PnPEntity.DeviceID="USB4\\ROOT_DEVICE_ROUTER&VID_8086&PID_A73E\\4&C2CE0C0&0&0";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_PnPEntity.DeviceID="USB\\ROOT_HUB30\\4&2BD89D0B&0&0";
